
Indentifier   Value
============================
Keyword        bool
Separator      sp
Identifier     b
Operator       =
Boolean        true
Separator      ;
Keyword        for
Separator      (
Keyword        int
Separator      sp
Identifier     i
Operator       =
Integer        0
Separator      ;
Identifier     i
Operator       <
Integer        10
Separator      ;
Operator       +
Operator       +
Identifier     i
Separator      )
Separator      {
Keyword        while
Separator      (
Identifier     x
Operator       =
Integer        5
Separator      )
Separator      {
Identifier     y
Operator       +
Operator       +
Separator      ;
Separator      }
Separator      }
