Indentifier 	 Value
============================
Keyword        while          
Separator      sp             
Separator      (              
Identifier     fahr           
Separator      sp             
Operator       <              
Separator      sp             
Identifier     upper          
Separator      )              
Separator      sp             
Identifier     a              
Separator      sp             
Operator       =              
Separator      sp             
Real           23.00          
Separator      sp             
Keyword        whileend       
Separator      sp             
Identifier     lit            
Separator      sp             
Keyword        bool           
Separator      sp             
Boolean        true           
Separator      sp             
Keyword        int            
Separator      sp             
Integer        9              
